NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=2619.147s, table=0, n_packets=0, n_bytes=0, idle_age=2619, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5064 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2618.153s, table=0, n_packets=0, n_bytes=0, idle_age=2618, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5065,tp_dst=80 actions=mod_dl_dst:00:00:00:00:03:01,output:5
 cookie=0x0, duration=2618.150s, table=0, n_packets=0, n_bytes=0, idle_age=2618, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5065,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2618.149s, table=0, n_packets=0, n_bytes=0, idle_age=2618, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5065 actions=mod_dl_dst:00:00:00:00:03:02,output:6
 cookie=0x0, duration=2618.147s, table=0, n_packets=0, n_bytes=0, idle_age=2618, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5065 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2617.153s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5066,tp_dst=80 actions=mod_dl_dst:00:00:00:00:02:01,output:3
 cookie=0x0, duration=2617.151s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5066,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2617.149s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5066 actions=mod_dl_dst:00:00:00:00:02:02,output:4
 cookie=0x0, duration=2617.148s, table=0, n_packets=0, n_bytes=0, idle_age=2617, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5066 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2616.153s, table=0, n_packets=0, n_bytes=0, idle_age=2616, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5067,tp_dst=80 actions=mod_dl_dst:00:00:00:00:03:01,output:5
 cookie=0x0, duration=2616.151s, table=0, n_packets=0, n_bytes=0, idle_age=2616, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=5067,tp_dst=80 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2616.149s, table=0, n_packets=0, n_bytes=0, idle_age=2616, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5067 actions=mod_dl_dst:00:00:00:00:03:02,output:6
 cookie=0x0, duration=2616.148s, table=0, n_packets=0, n_bytes=0, idle_age=2616, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=80,tp_dst=5067 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2615.633s, table=0, n_packets=17, n_bytes=2580, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=54136,tp_dst=5201 actions=mod_dl_dst:00:00:00:00:02:01,output:3
 cookie=0x0, duration=2615.630s, table=0, n_packets=17, n_bytes=2504, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=5201,tp_dst=54136 actions=mod_dl_dst:00:00:00:00:02:02,output:4
 cookie=0x0, duration=2615.628s, table=0, n_packets=17, n_bytes=2504, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=5201,tp_dst=54136 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2615.622s, table=0, n_packets=17, n_bytes=2580, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=54136,tp_dst=5201 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2615.619s, table=0, n_packets=14752, n_bytes=646674437, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=54148,tp_dst=5201 actions=mod_dl_dst:00:00:00:00:03:01,output:5
 cookie=0x0, duration=2615.618s, table=0, n_packets=14752, n_bytes=646674437, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=54148,tp_dst=5201 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2615.616s, table=0, n_packets=11430, n_bytes=754380, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=5201,tp_dst=54148 actions=mod_dl_dst:00:00:00:00:03:02,output:6
 cookie=0x0, duration=2615.610s, table=0, n_packets=11430, n_bytes=754380, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:03:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=5201,tp_dst=54148 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2615.610s, table=0, n_packets=14749, n_bytes=646472215, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=54156,tp_dst=5201 actions=mod_dl_dst:00:00:00:00:02:01,output:3
 cookie=0x0, duration=2615.608s, table=0, n_packets=14749, n_bytes=646472215, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:02:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=54156,tp_dst=5201 actions=mod_dl_dst:00:00:00:00:01:02,output:2
 cookie=0x0, duration=2615.606s, table=0, n_packets=11594, n_bytes=765204, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:01:02,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=5201,tp_dst=54156 actions=mod_dl_dst:00:00:00:00:02:02,output:4
 cookie=0x0, duration=2615.601s, table=0, n_packets=11594, n_bytes=765204, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:02:01,dl_dst=00:00:00:00:01:01,nw_src=143.12.131.92,nw_dst=192.168.1.2,tp_src=5201,tp_dst=54156 actions=mod_dl_dst:00:00:00:00:01:01,output:1
 cookie=0x0, duration=2615.598s, table=0, n_packets=14752, n_bytes=646764661, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:01:01,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=54162,tp_dst=5201 actions=mod_dl_dst:00:00:00:00:03:01,output:5
 cookie=0x0, duration=2615.596s, table=0, n_packets=14752, n_bytes=646764661, idle_age=2605, priority=2,tcp,dl_src=00:00:00:00:03:02,dl_dst=00:00:00:00:01:02,nw_src=192.168.1.2,nw_dst=143.12.131.92,tp_src=54162,tp_dst=5201 actions=mod_dl_dst:00:00:00:00:01:02,output:2
